FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_5988	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	cucumerina
OTU_5989	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_5990	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	lanosum
OTU_5991	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
OTU_5992	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
OTU_5993	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	equina
OTU_5994	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	finlandica
OTU_5995	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_5996	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_5997	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
OTU_5998	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_5999	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU_6000	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	NA
OTU_6001	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_6002	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
OTU_6003	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Saccharomycetales_gen_Incertae_sedis	NA
OTU_6004	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Meliniomyces	NA
